HOST,EVENT,THISPLACE,TIME,DAYS,STARTTIMES,ENDTIMES,LOCATION,LAT,LONG,ABOUT
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BOOKCLUB.jpg,Electro Swing Club – Last Saturday at the Book Club,0,Saturday 16th May / 8:00pm – 2:00am,16,"20:00,0:00","23:59,2:00","The Book Club, 100 – 106, Leonard Street, EC2A 4RH",51.5245317,-0.0817132,"DJs: Nick Hollywood, Odjbox, Future Swing Story’s, Tall Will, Jon Bongly & DJ Tofu. At Electro Swing Club’s final Saturday slot at The Book Club, we’ll be focusing on 1950s and 1960s remixes and edits. It is going to be the most spectacular ever! Music policy: electro swing, 50s & 60s edits. Price: Free before 9pm, £5 after"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_PANDAPAY.jpg,CoderDojo – a Coding Club for Young Adults,0,Sunday 17th May / 2:00pm – 5:00pm,17,14:00,17:00,"Central Working, 69-89 Mile End Road, E1 4TT",51.5209849,-0.0518054,"CoderDojo is a movement orientated around running free not-for-profit coding clubs for young people from as young as 5 years to 17 years old. Come along to learn how to code, develop websites, apps, programs, games and so much more. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_GREENPEACE.jpg,Greenhack,0,Sunday 17th May / until 6:00pm,17,8:00,18:00,"Greenpeace UK, Canonbury Villas, N1 2PN",51.5404668,-0.0981619,"Greenhack is a two day hackathon with difference. You’ll be helping Greenpeace defend the Arctic. Using only code and creativity we’ll take on a giant oil company, and win. We’re looking for a diverse group of talented, passionate and fun people to build stuff that can change the world.
			Come hack with us for a cooler future. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BOOKCLUB.jpg,ALL TWERK AND NO PLAY,0,"Sunday 17th May / 6.30pm – 8:00pm, doors 6pm",17,18:00,20:00,"The Book Club, 100 – 106, Leonard Street, EC2A 4RH",51.5245317,-0.0817132,"Say hello to The Book Club’s monthly All Twerk And No Play half-dance class/half-basement-bashment social. No previous twerking experience necessary! Music policy: Bashment, afrobeats, reggae, dancehall, R&B, hip hop.Price: £8 advance, £10 on the door. Click here to buy tickets"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_DIGITASLBI.jpg,The Guts and the Glory: Inside DigitasLBi,0,Monday 18th May / 10:00am // 12:00pm // 2:00pm,18,10:00,16:00,"DigitasLBi, Old Truman Brewery, 146 Brick Lane, E1 6RU",51.5210387,-0.071715,"DigitasLBi are opening our doors to show you the inner workings of a global marketing and technology agency. Join experts in the fields of strategy, technology and creative as they walk you through award-winning work and our tireless pursuit of digital real magic, followed by afternoon tea and a chat with some of our clever designers, strategists and technologists."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_FIREGDOG.jpg,Packaging Your Startup,0,Monday 18th – Friday 22nd May / 11:00am – 12:00pm,"18,19,20,21,22",11:00,12:00,"43/44 Hoxton Square, N1 6PB",51.527298,-0.0814266,"You’ve just started up your own business. You’ve got the ideas, and you’ve got the drive, but do you know how to truly sell your business, or how to get that vital second stage VC funding?  Packaging is key to any good product, and we’re not just talking about aesthetics. The way you “wrap” your business is an intricate plan that involves segmenting your audience properly and communicating to them effectively. Old hats at branding, communications and digital, Firedog will help stimulate your idea and advise on what makes a successful brand. To RSVP please email: hannah.franklin@firedog.co.uk, 12 people maximum per day – don’t miss out!"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_02THINKBIGOPENHOUSE.jpg,Think Big Open House and Live Project Funding,0,Monday 18th May / 1:00pm – 3:00pm,18,13:00,15:00,"Think Big Hub, 16 Hoxton Square, N1 6NT",51.5281675,-0.0816819,Drop in and discover all about O2 Think Big! Come and explore our digital playground and if aged 13 -25 be inspired to create and develop a digital social action project.  You can even pitch your project live and if we love it you could walk away with £300 funding!
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_02TECHTALKS.jpg,Tech Talks,0,Monday 18th May / 4:00pm – 6:00pm,18,16:00,18:00,"Think Big Hub, 16 Hoxton Square, N1 6NT",51.5281675,-0.0816819,"16-25? Interested in Business, Enterprise, Tech and/or Apprenticeships?
			#TechTalks2015 are a great way to build your network, meet new people and find out about all of the awesome opportunities there are working in the world of Technology. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_MAKERSACADEMY.jpg,Makers Academy Information Evening,0,Monday 18th May / 6:00pm – 7:30pm,18,18:00,19:30,"Makers Academy, Floors 2 and 3, 50-52 Commercial Street, E1 6LT",51.517399,-0.0735902,"The information evening is an opportunity to meet the students/teachers and soak in the Makers atmosphere. In other words, you’ll discover where 12 weeks of coding can take you. Learn about learning to code in 12 weeks at Makers Academy. Come along to our information session and soak up the Makers atmosphere.  Hear from the graduates who switched careers and now work as junior developers in exciting tech companies.  Discover where 12 weeks of coding can take you. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_KLAXONTECHMAP.jpg,Is Data the Holy Grail for Marketers?,0,Monday 18th May / 6:30pm,18,18:30,,"Theodore Bullfrog, 26 John Adam Street, WC2N 6HL",51.5087492,-0.123817,"techmap is the real world and online community designed to explore the practical applications of technology for marketing, advertising and PR performance. Our upcoming Meetup will be focused around whether data is the holy grail for marketers. Click here to register"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BYTETHEBOOK.jpg,Byte the Book – What Place do Book Design and Illustration have in the Digital Age?,0,Monday 18th May / 6:30pm – 9:00pm,18,18:30,21:00,"The Groucho Club, 45 Dean Street, W1D 4QB",51.5131039,-0.1319851,"Jacky Klein, Publisher at Tate Publishing, will lead a discussion on the relevance of design and illustration in the digital age. Her panel will include: Andrew Sanigar, Commissioning Editor at Thames and Hudson,  Mark Ecob, Creative Director at Mecob Design Ltd, and Kate Wilson. MD at Nosy Crow. They’ll also be time to network with publishers, authors and all those connected to the publishing industry before and after the talk. Click here to buy tickets"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_OFFICEGROUP.jpg,The Sharing Economy: Imagining The Future of Work,0,Monday 18th May / 6:30pm – 9:00pm,18,18:30,21:00,"The Black & White Building, 74 Rivington Street, EC2A 3AY",51.526249,-0.0791117,"What is the future of work? How will collaboration and sharing change the work we do and the spaces we work in?  Matthew McStravick, Founder and CEO of Echo, chairs an exclusive panel discussion on the sharing economy, working methods and the future of collaboration. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_SECRETADVENTURES.jpg,Night Kayak under Tower Bridge,0,Monday 18th May / 7:00pm,18,19:00,,Limehouse Basin,51.5111875,-0.0364027,Night kayak through central London under Tower Bridge. Climb up a fire escape to a pub for dinner and a drink (included in price) and then canoe back. Professional guides and kayak equipment all included. Whether you’ve kayaked before or not everyone is welcome. Click here to buy tickets
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_STARTUPHOME.jpg,"Drones, iCars and Total Connectivity: The Future of Future Cities",0,Monday 18th May / 7:00pm,18,19:00,,"One Canada Square, E14 5AB",51.5049269,-0.0195047,Watch and try some of the most innovative technology for smart homes and future cities. Experience the life of a future citizen 10 years in advance.
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BOOKCLUB.jpg,MAKE GOOD: JURASSIC WORLD TERRARIUMS,0,Monday 18th May / 7:00pm – 9:00pm,18,19:00,21:00,"The Book Club, 100 – 106, Leonard Street, EC2A 4RH",51.5245317,-0.0817132,"Can’t wait for Jurassic World to hit the screens? Good Empire are on hand to help you create your own Jurassic World within a glass jar. All plants and materials are included – bring your own jar for £20, or we can provide one for £25. Click here to buy tickets"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_QUARTZ1.jpg,Quartz’s The Next Billion: London,0,Tuesday 19th May / 8:30am – 6:00pm,19,8:30,18:00,"One Marylebone, 1 Marylebone Road, NW1 4AQ",51.5242185,-0.14382,"By 2016, global internet traffic is expected to double to over 3 billion users.
			Quartz’s, The Next Billion: London explores the implications this next wave of users will have on finance, infrastructure, and technology, among others. 
			The full-day program convenes global industry leaders exploring challenges and opportunities facing an increasingly connected world. Use the code QZTNBDS for 40% off registration. Click here to buy tickets"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BIFFRA.jpg,TechDeck: Briffa Legal Helpdesk,0,Tuesday 19th May / 9:30am – 6:30pm,19,9:30,18:30,"Briffa, Business Design Centre, 52 Upper Street Islington, N1 0QH",51.5356255,-0.1058398,"Briffa TechDeck is an open house event where creative businesses and individuals can call in and obtain free legal advice. We are creative lawyers for creative business; with specialists in commercial law, IT and media law. Feel free to join us at our offices for a chat (and maybe even a drink) and we’ll help you out."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_TECHHUB.jpg,TechHub Shoreditch Open House,0,Tuesday 19th May / 10:00am,19,10:00,,"14-22 Elder Sreet, E1 6BT",51.5213559,-0.0766862,"Tech startups! Come and take a look at TechHub Shoreditch, meet the companies creating amazing products, have a tour of our space and chat to members of the community. Join us on the 19th for our casual Members Breakfast, or come along on the 21st for an afternoon coffee. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_DAP_RBG.jpg,Making the Most of Media and PR Workshop,0,Tuesday 19th May / 10:00am – 1:00pm,19,10:00,13:00,"11th Floor, 6 Mitre Passage, North Greenwich, SE10 OER",51.5006585,0.0066304,"Growing SMEs need to positively manage and build their digital brand profile both on and off-line and often need to work with specialists to maximise their efforts.This event will give you the opportunity to hear from and actively engage with journalists and PR specialists. They will provide useful hints and tips on areas such as:
			– How to shape your offering to attract the right media
			– How to select a PR agency
			– How to survive or avoid a media disaster
			There will also be a detailed Q&A session and the opportunity to network with PR specialists."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_RAJESH.jpg,Entrepreneurial Vitality via Mobile Technologies,0,Tuesday 19th May / 10:00am – 12:00pm,19,10:00,12:00,"Campus London, 5 Bonhill St, Shoreditch, EC2A 4BX",51.5225702,-0.0855003,"Dr Michelle Blanchard, Head of Projects and Partnerships at the Australia-based Young and Well Cooperative Research Centre provides an overview of a number of tools and technologies that the Centre has developed with their partners that could be utilised to promote mental health and well-being within the Developer and Entrepreneur communities. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_INNOVATIONWAREHOUSE.jpg,Open Innovation Warehouse,0,Tuesday 19th May / 11:00am,19,11:00,,"Innovation Warehouse, 1 East Poultry Avenue, Smithfield Market, Farringdon, EC1A 9PT",51.5191058,-0.1019622,"We’ll give you a tour of our coworking space, tell you all about the different events and business opportunities at Innovation Warehouse, and answer any questions you have about the Community. You are also welcome to grab a coffee and work from our Hot Desking area for the day. Please RSVP to: tizi@innovationwarehouse.org"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_INITION.jpg,Evolving Realities: Brand Experiences in the Virtual World,0,"Tuesday 19th May / 11:00am – 12.00pm, 4:00pm – 5:00pm",19,"11:00,16:00","12:00,17:00","23 Curtain Road, EC2A 3LT",51.5225975,-0.081117,"Our event is for agencies & brands hoping to leverage virtual reality tech & content to capture the collective attention of their target audience. Drawing on our own brand experiences, the wisdom of our in-house panel of experts & our range of emerging tech, we’ll reveal how best to win consumer engagement. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_IP21.jpg,IP Clinic,0,Tuesday 19th May / 2:00pm – 5:00pm,19,14:00,17:00,"ip21 Ltd, Warwick House, 65-66 Queen Street, EC4R 1EB",51.5114252,-0.0928668,"ip21 limited is hosting two IP Clinics to offer advice to businesses regarding any aspect of intellectual property. The sessions are one-to-one confidential meetings, are free to attend. Please email: jamesbell@ip21.co.uk if you would like to book an appointment."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_MOO.jpg,Welcome to MOO: Tech Tuesday,0,Tuesday 19th May / 3:00pm – 6:00pm,19,15:00,18:00,"Moo Ltd, 32-38 Scrutton Street, EC2A 4RQ",51.523151,-0.0819515,"Join MOO’s tech team for an afternoon of in-depth tech talks! Our expert speakers will discuss the innovative technologies we use to fuel a global online print and design company. Expect heaps of inspiration, free drinks and plenty of popcorn. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_ANDANDAND.jpg,"Digital Strategies ‘Content is King, Design is Queen’",0,Tuesday 19th May / 4:00pm,19,16:00,,"&&& Creative, Unit 11, 5 Durham Yard, Bethnal Green, E2 6QF",51.5269736,-0.0667204,"What we do shapes the way brands communicate every day and how audiences will be engaged in the future.
			Digital Strategy
			• Digital Innovation… Website Design & Development, Content Strategy and Social Media Integration.
			• Engaging Customers – Creative Design & User Experience
			• Transforming businesses measurable by KPI’s
			Imagine the possibilities. Please email: engage@andandand.co.uk to RSVP."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_TWILIO.jpg,Signal Viewing Party @Twilio London HQ,0,Tuesday 19th May / 5:30pm,19,17:30,,"Twilio, 4 Crown Place, EC2A 4BT",51.520145,-0.0834687,"Join us for a house-warming meets live streaming party of Signal, the No.1 communications conference of 2015 celebrating the latest in software and cloud communications. Be prepared to be amazed by cocktails-galore, nibbles, live viewing of the Signal opening keynote by Jeff Lawson, Twilio’s CEO and an exclusive Signal swag bag! Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_7DIGITAL.jpg,Hi-Res Audio Showcase Event,0,Tuesday 19th May / 6:00pm,19,18:00,,"7digital Limited (Head Office), 69 Wilson Street, EC2A 2BB",51.5219656,-0.0848193,"7digital will moderate a panel of experts looking at new advances in Hi-Res Audio and the current digital music industry. With thoughts on operational issues, the history of formats in the market and new technologies and  hi-res music and how quality and convenience can be both met, attendees will have the opportunity to demo such music and make up their own minds! Drinks, nibbles and networking will follow. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_ACCELERATOR.jpg,Idea to App Store,0,Tuesday 19th May / 6:00pm – 8:00pm,19,18:00,20:00,"Accelerator, 35 Kingsland Road, E2 8AA",51.529121,-0.077966,"– How to turn your idea into an app that gets traction
			– Hear practical tips from successful app developers
			– Meet other developers and entrepreneurs
			– Get your app on iTunes and Google Play
			– Whether you’re starting out or building your app company this is for you
			Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_02THINKBIGOPENHOUSE.jpg,Think Big Open House and Live Project Funding,0,Tuesday 19th May / 6:00pm – 8:00pm,19,18:00,20:00,"Think Big Hub, 16 Hoxton Square, N1 6NT",51.5281675,-0.0816819,Drop in and discover all about O2 Think Big! Come and explore our digital playground and if aged 13 -25 be inspired to create and develop a digital social action project.  You can even pitch your project live and if we love it you could walk away with £300 funding!
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_SPLENDID.jpg,"Keeping it real:  What does authenticity mean for brands in digital, and is it essential to become a lifestyle brand to succeed online?",0,Tuesday 19th May / 6:00pm – 8:00pm,19,18:00,20:00,"Cargo, 83 Rivington Street, Shoreditch, EC2A 3AY",51.5261933,-0.0788466,"Representatives from the world’s leading brands and industry experts will discuss one of the biggest challenges facing brands, that is consumer expectations for meaningful conversations with brands.  The discussion will also ask: is it possible for brands to have a genuine dialogue with consumers at the same time as delivering a commercial objective?"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_GRANTTREE.jpg,Should we pivot and go into space?,0,Tuesday 19th May / 6:30pm,19,18:30,,"168-172 Old Street Bentima house (2nd floor, GrantTree at the Stack Exchange offices)",51.5250255,-0.0904861,"With opportunities to secure equity free finance into the millions grant funding might seem like the holy grail of business development, an opportunity to fund development with few strings attached. This talk takes you behind the scenes of competition scoping and what is being looked for, the highs and lows of the application process and the trails of getting paid. With experience of working with grant funders in his own and other’s companies, Richard and Gary will demystify the shadowy world of UK and EU innovation funding and try to convince you to pivot into a space-tech start up. C’mon who doesn’t want to go into space? To RSVP please email: orsi@granttree.co.uk, event is limited to 70 people."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_MAKERSCAFE.jpg,Introduction to 3D Printing,0,Tuesday 19th May / 6:30pm – 8:00pm,19,18:30,20:00,"MakersCafe, Old Shoreditch Station, 1 Kingsland Road, E2 8DA",51.5284114,-0.0782175,"Introduction to 3D Printing for Beginners
			No prior experience necessary. Cris Rose, our 3D Printing specialist will take you through everything from the very basics of 3D Printing to how it can be applied to your everyday life. 60-min presentation, with opportunity to ask questions and check out our samples for inspiration on your next project.
			Class begins promptly at 6:30. Seating on a first come first serve basis."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_YOSSARIAN.jpg,The Future of Creative Search,0,Tuesday 19th May / 6:30pm – late,19,18:30,23:59,"5th Floor, 230 City Rd, EC1V 2TT",51.5284777,-0.0930092,"Sharp, insightful tour from Yossarian Lives CEO, J.Paul Neeley, on the dangers of traditional search engines for the creative process, and an introduction to the exciting opportunities new search technology will have on human creativity. Come join us for the discussion followed by fun, drinks, networking, good music and pandas! Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_CROWDCUBE.jpg,Equity Crowdfunding for Tech Companies,0,Tuesday 19th May / 7:00pm – 9:00pm,19,19:00,21:00,"Moo Ltd, 32-38 Scrutton Street, EC2A 4RQ",51.523151,-0.0819515,Are you a Tech company looking to raise finance? Crowdcube are the leaders in the equity crowdfunding industry and are in receipt of a government fund of £5million to put into London based high growth tech companies. Sound interesting? come along and hear some of our funded companies talk about their crowdfunding experience and have a few drinks with us.
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BOOKCLUB.jpg,HIP HOP PUB QUIZ,0,Tuesday 19th May / 7.30pm – 12am,19,19:30,23:59,"The Book Club, 100 – 106, Leonard Street, EC2A 4RH",51.5245317,-0.0817132,"This quiz about your favourite MCs, DJs, producers, albums etc. will follow the tried and tested format. Expect the typical kinds of rounds (film, sports, picture) but solely on hip hop. Price: £1 per player adv, £2 on the night."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_COHAESUS.jpg,Unicorns or a new breed of horses? Welcome to the world of devs,0,"Wednesday 20th May / All day, chat at 4:00pm",20,8:00,23:59,"Cohaesus @ The Space, 69 Old Street, EC1V 9HX",51.5243528,-0.096122,"Cohaesus open their doors to all the students, current freelancers, graduates (all disciplines) and to all the developers looking for a change to discuss about what’s going on. Meet us on our brand new roof-terrace, see how’s life in tech peaking in our offices and take a step closer to your next dream job. To RSVP please email: rita.ricci@cohaesus.co.uk"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_QMUL.jpg,Digital Musical Instrument Hack Day,0,Wednesday 20th May / 10:00am – 4:00pm,20,10:00,16:00,"G2 (Media and Arts Technology Lab), Ground floor, Engineering Building, Mile End Road, Queen Mary University of London, E1 4FZ",51.5240671,-0.0403745,"A daylong event featuring hardware hacking and audio programming for creating new digital musical instruments. It will introduce the D-Box, an open-source ‘hackable instrument’ which can be circuit-bent and rewired by the performer to create unexpected new sounds. Each performer will use a D-Box, beginning with modifying the hardware, and then writing new audio code to run on the instrument. Some programming experience is helpful though the workshop is open to all experience levels. To RSVP please email: a.mcpherson@qmul.ac.uk"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_DIMOSO.jpg,Effective Marketing Surgery for the Mobile Industry,0,Wednesday 20th May / 10:00am – 6:00pm,20,10:00,18:00,"Dimoso, 107 The Timber Yard, Drysdale Street, Shoreditch, N1 6ND",51.5278156,-0.0796145,"Dimoso will be available to discuss your mobile-related product or service. Book a 40-minute slot and we’ll look at your product, messaging and assets, provide feedback and help with PR and marketing recommendations. We’re not pushing our services, just giving back to this great community. To RSVP please email: doug@dimoso.com"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_USTWO.jpg,Ustwo Talkies Day,0,Wednesday 20th May / 10.00am // 11.15am // 1.00pm,20,10:00,14:15,"Ustwo, Unit G.01, Tea Building, 62 Shoreditch High Street, E1 6JJ",51.5241201,-0.0772243,"The people behind Monument Valley, Wayfindr and DICE.fm open their doors to the public for the morning. Come grab some nibbles and see a selection of Talkies from ustwobies on contemporary tech issues in their cybercafe space (See more information and RSVP to Talkies via Eventbrite). A great chance to have a peek at ustwo’s Studio of Dreams in action. Click here to RSVP"
